Date;Open;High;Low;Close;Volume;Adj Close
2015-10-27;53.990002;54.369999;53.580002;53.689999;50999900;53.330533
2015-10-26;52.529999;54.32;52.50;54.25;64633300;53.886785
2015-10-23;52.299999;54.07;52.25;52.869999;135227100;52.516023
2015-10-22;47.529999;48.950001;47.09;48.029999;56637100;47.708428
2015-10-21;47.919998;47.990002;47.110001;47.200001;25144300;46.883987
2015-10-20;47.439999;47.810001;47.02;47.77;30802200;47.45017
2015-10-19;47.419998;47.880001;47.02;47.619999;29387600;47.301173
2015-10-16;47.02;47.540001;46.900002;47.509998;25779300;47.191909
2015-10-15;47.009998;47.029999;46.529999;47.009998;27189400;46.695256
2015-10-14;46.650002;47.099998;46.529999;46.68;24697800;46.367468
2015-10-13;46.560001;47.130001;46.560001;46.889999;19987800;46.576061
2015-10-12;46.98;47.07;46.50;47.00;19769100;46.685325
2015-10-09;47.450001;47.540001;46.919998;47.110001;28600600;46.794589
2015-10-08;46.560001;47.52;46.50;47.450001;33772700;47.132313
2015-10-07;47.099998;47.349998;45.950001;46.799999;27711500;46.486663
2015-10-06;46.330002;47.18;46.220001;46.75;27510800;46.436999
2015-10-05;45.75;46.889999;45.700001;46.630001;34369300;46.317803
2015-10-02;44.27;45.57;43.919998;45.57;41839000;45.264899
2015-10-01;44.75;44.75;43.75;44.610001;28657900;44.311327
2015-09-30;43.880001;44.299999;43.66;44.259998;34958900;43.963668
2015-09-29;43.369999;43.57;43.049999;43.439999;32763600;43.149159
2015-09-28;43.830002;44.09;43.209999;43.290001;27613800;43.000165
2015-09-25;44.48;44.73;43.759998;43.939999;29384600;43.645811
2015-09-24;43.450001;44.130001;43.27;43.91;27905600;43.616013
2015-09-23;43.93;44.169998;43.509998;43.869999;17145200;43.57628
2015-09-22;43.380001;44.049999;43.310001;43.900002;28085900;43.606082
2015-09-21;43.619999;44.470001;43.599998;44.110001;26177200;43.814675
2015-09-18;43.50;43.990002;43.330002;43.48;63143700;43.188892
2015-09-17;44.290001;45.00;44.080002;44.25;32768200;43.953737
2015-09-16;43.970001;44.380001;43.84;44.299999;23372200;44.003401
